objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_g1,diff_i,diff_z
1237648721216405657,147.24805,-0.035723556,19.92408,17.75023,16.76577,16.31368,15.98227,21.0404,19.02146,18.03189,17.63901,17.28919,0.08419658,2.173847,0.984457,0.4520931,0.3314085,GALAXY,-1.116318,-1.271233,-1.266117,-1.325329,-1.306914
1237648721216274720,146.92403,-0.10514302,23.7651,20.41189,18.60511,17.97406,17.66566,23.76242,21.48446,19.66513,19.17169,18.82085,0.3275724,3.353209,1.80678,0.6310501,0.308403,GALAXY,0.00267601,-1.072573,-1.060022,-1.197628,-1.155197
1237650795683446969,146.9201,-0.30646208,19.41834,18.03791,17.10992,16.70166,16.41131,20.86501,19.79343,18.81922,18.41781,18.10752,0.1314801,1.380424,0.9279976,0.4082584,0.2903519,GALAXY,-1.446667,-1.755512,-1.709305,-1.716152,-1.696211
1237650796220514489,147.32951,0.028902695,17.59556,16.01916,15.31942,14.94442,14.66613,19.76252,18.20831,17.44802,17.07813,16.77753,0.04808582,1.576405,0.6997318,0.374999,0.2782965,GALAXY,-2.16696,-2.189154,-2.128597,-2.133708,-2.111404
1237650795683512955,147.08969,-0.26650926,24.22258,21.01025,19.2916,18.66112,18.2066,24.17756,21.5875,19.87928,19.27138,18.83974,0.3829364,3.21233,1.718651,0.6304817,0.4545174,GALAXY,0.04502487,-0.5772457,-0.5876789,-0.6102619,-0.6331425
1237650795683578031,147.17639,-0.35405684,18.00111,16.93112,16.50024,16.31557,16.15693,20.29854,19.25209,18.98979,18.86024,18.71744,0.006282841,1.06999,0.4308796,0.1846733,0.1586323,GALAXY,-2.297434,-2.320972,-2.48955,-2.544676,-2.560505
1237648721216340148,147.11461,-0.16521837,20.52856,18.59334,17.2839,16.80671,16.4431,21.68602,19.9043,18.58176,18.20843,17.86092,0.2040574,1.935219,1.309443,0.4771881,0.3636093,GALAXY,-1.157461,-1.310955,-1.297857,-1.401716,-1.417814
1237650795683578073,147.22569,-0.29262062,19.81996,17.77275,16.90096,16.47925,16.17301,21.57115,19.91526,19.02632,18.5832,18.25409,0.1336352,2.047211,0.8717957,0.4217014,0.3062458,GALAXY,-1.751192,-2.142511,-2.125364,-2.103951,-2.081079
1237650794609180882,145.68613,-1.2440377,20.26422,18.18134,17.06187,16.60664,16.24655,21.32911,19.37077,18.29676,17.79173,17.43793,0.1480799,2.08288,1.119473,0.4552326,0.3600864,GALAXY,-1.064894,-1.189432,-1.234896,-1.185095,-1.19138
1237655178159915217,145.63394,-1.0506031,19.68568,17.99028,17.01146,16.53136,16.17628,20.77058,19.28116,18.31961,17.86926,17.53106,0.1432976,1.695402,0.978817,0.4801006,0.3550835,GALAXY,-1.0849,-1.290886,-1.308149,-1.337896,-1.354786
1237650795146051757,145.67849,-0.79140064,20.85218,18.71256,17.61083,17.16377,16.78563,21.48792,19.43526,18.39261,17.95404,17.53573,0.1491852,2.139616,1.101736,0.447052,0.3781452,GALAXY,-0.6357384,-0.7226963,-0.7817822,-0.7902699,-0.750103
