,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
7725,1237651736851054654,226.54376,2.2805647,16.14564,16.08055,16.01274,15.58753,15.69591,16.17282,16.19777,16.17906,15.75182,15.90852,0.1346648,0.06508827,0.06781197,0.4252129,-0.1083841,b'QSO',-0.027180000000001314,-0.11721999999999966,-0.1663199999999989,-0.16429000000000116,-0.21260999999999974
426174,1237655370906337302,219.92854,58.46645,17.93962,17.86686,18.11162,18.03099,17.84601,17.93779,17.89905,18.14109,18.07135,17.89643,0.4249636,0.07275772,-0.2447567,0.08062744,0.1849823,b'QSO',0.0018300000000017747,-0.03218999999999994,-0.029469999999999885,-0.04035999999999973,-0.05041999999999902
6218,1237650760788017323,198.50487,-3.2285759,19.03907,18.9826,18.56431,18.49362,18.54842,19.04788,18.98907,18.56891,18.51682,18.55166,1.300541,0.05646515,0.4182949,0.07069016,-0.05480003,b'QSO',-0.008810000000000429,-0.006470000000000198,-0.0045999999999999375,-0.02319999999999922,-0.0032399999999981333
313940,1237659326016913547,212.74734,57.141474,19.1588,18.91039,18.93985,18.85537,18.86965,19.1352,18.90677,18.92565,18.85848,18.85525,1.579982,0.2484055,-0.02945328,0.08447456,-0.0142765,b'QSO',0.02359999999999829,0.003619999999997958,0.01419999999999888,-0.003109999999999502,0.014399999999998414
110483,1237667549810327591,170.04275,23.828021,18.59314,18.49766,18.53024,18.37996,18.25864,18.57744,18.54754,18.55044,18.40489,18.24734,2.04227,0.09547424,-0.0325737,0.1502724,0.1213207,b'QSO',0.015699999999998937,-0.0498800000000017,-0.020199999999999108,-0.02493000000000123,0.011299999999998533
87225,1237661970658361391,207.28335,6.1243321,19.31146,18.87464,18.81206,18.5966,18.65151,19.36319,18.94167,18.89213,18.70635,18.76344,0.6117051,0.4368191,0.06258583,0.2154617,-0.05491829,b'QSO',-0.051729999999999166,-0.06702999999999903,-0.08007000000000275,-0.10975000000000179,-0.11193000000000097
366825,1237667541752610825,147.47821,20.185222,18.62188,17.96064,17.16745,16.71468,16.42423,19.33627,19.03797,18.56291,18.1103,17.81178,0.1657641,0.6612358,0.7931957,0.4527664,0.290451,b'QSO',-0.7143899999999981,-1.07733,-1.39546,-1.3956199999999974,-1.3875499999999974
370696,1237665024363855942,172.99961,33.77845,18.93855,18.87025,18.87619,18.63212,18.68833,18.93244,18.86641,18.86674,18.64522,18.6878,1.64383,0.06829453,-0.005941391,0.2440758,-0.05621338,b'QSO',0.006109999999999616,0.0038400000000002876,0.009450000000001069,-0.013099999999997891,0.0005300000000012517
373928,1237666462656364575,122.31104,64.826042,19.40494,18.32242,17.85727,17.53692,17.74795,19.40955,18.32244,17.85698,17.58314,17.75186,4.379166,1.082518,0.4651489,0.3203526,-0.2110252,b'QSO',-0.004609999999999559,-1.9999999999242846e-05,0.0002899999999996794,-0.046220000000001704,-0.00391000000000119
353697,1237662696498331708,233.46468,26.145626,18.99049,19.26324,18.87786,18.84456,18.9484,19.01311,19.28596,18.88827,18.852,18.9698,1.263289,-0.2727547,0.3853817,0.03330612,-0.1038456,b'QSO',-0.022619999999999862,-0.02271999999999963,-0.010410000000000252,-0.007439999999999003,-0.021399999999999864
40658,1237660765375496390,131.64252,31.495787,18.97943,17.47422,16.67784,16.23174,15.93616,20.50464,18.92736,18.15521,17.74012,17.52272,0.1211703,1.505211,0.7963829,0.4460983,0.2955828,b'QSO',-1.5252099999999977,-1.4531400000000012,-1.4773700000000005,-1.5083800000000025,-1.5865600000000004
222185,1237657590858842192,179.24832,55.219024,21.48268,19.42204,18.78791,18.34137,18.0562,21.44768,19.45759,18.806,18.3569,18.07441,3.110149,2.060638,0.6341343,0.4465427,0.2851658,b'QSO',0.03500000000000014,-0.03555000000000064,-0.018090000000000828,-0.015529999999998267,-0.018209999999999837
269315,1237655125020835842,210.9658,4.1824457,19.00554,18.44951,18.4185,18.44866,18.22346,18.98482,18.4552,18.41694,18.43637,18.23504,2.33886,0.5560322,0.03100586,-0.03015327,0.2251968,b'QSO',0.020720000000000738,-0.005690000000001305,0.001560000000001338,0.012290000000000134,-0.011580000000002144
390094,1237669768154054658,359.99783,8.4702803,17.87307,18.01981,18.36359,18.64442,18.84844,17.88073,18.04244,18.37453,18.64786,18.86599,2.681778,-0.1467476,-0.3437786,-0.2808247,-0.2040195,b'QSO',-0.007660000000001332,-0.022629999999999484,-0.010940000000001504,-0.00344000000000122,-0.017549999999999955
183613,1237667446196928568,194.89631,23.732739,17.9347,17.98716,18.01764,17.71572,17.73354,17.95786,18.0059,18.04446,17.72832,17.73935,1.801517,-0.05246544,-0.03047371,0.3019199,-0.01782227,b'QSO',-0.023160000000000736,-0.01874000000000109,-0.026820000000000732,-0.012599999999999056,-0.005810000000000315
84820,1237664133165285386,160.18965,14.728167,19.08645,18.81696,18.84261,18.8699,18.79745,19.11856,18.8506,18.89579,18.94668,18.86098,0.7140157,0.2694912,-0.02565002,-0.02728653,0.07245064,b'QSO',-0.03210999999999942,-0.03363999999999834,-0.053180000000001115,-0.0767799999999994,-0.06353000000000009
287156,1237661136880730253,140.08077,31.959934,19.66768,19.10611,18.95011,18.86251,18.83549,19.65741,19.13121,18.969,18.87693,18.86083,2.624893,0.5615692,0.1559982,0.08760071,0.02702522,b'QSO',0.010270000000002,-0.025099999999998346,-0.018890000000002516,-0.01442000000000121,-0.025339999999999918
92186,1237658492285747244,194.81354,9.5344458,18.49605,18.11064,17.57165,17.40249,17.01767,18.79931,18.49631,18.19719,18.14165,17.7515,0.2743539,0.3854179,0.5389824,0.1691608,0.3848209,b'QSO',-0.3032599999999981,-0.38567000000000107,-0.6255399999999973,-0.7391599999999983,-0.7338300000000011
223093,1237660962939863101,138.39573,35.428004,17.98502,17.76027,17.66832,17.56707,17.32517,17.96398,17.76994,17.68079,17.55145,17.33608,2.159287,0.2247448,0.09195328,0.1012459,0.2418995,b'QSO',0.02103999999999928,-0.009669999999999845,-0.012469999999996872,0.015620000000001966,-0.010909999999999087
82962,1237664106851336547,147.42856,12.629251,19.58437,19.17963,18.64428,18.36094,18.43784,19.57394,19.17819,18.64139,18.36626,18.44502,1.665634,0.4047413,0.5353508,0.2833385,-0.07689667,b'QSO',0.010429999999999495,0.0014399999999987756,0.0028899999999971726,-0.005320000000001102,-0.007179999999998188
93609,1237680071248314591,18.063882,25.079132,19.69503,19.04409,18.64882,18.3887,18.29935,19.71511,19.05615,18.67116,18.39124,18.30108,1.404646,0.6509399,0.3952675,0.2601166,0.08935738,b'QSO',-0.020080000000000098,-0.012059999999998183,-0.022339999999999804,-0.0025399999999997647,-0.001729999999998455
